DATE,TWEXB
2013-06-12,100.8990
2013-06-19,100.5322
2013-06-26,102.5451
2013-07-03,102.4338
2013-07-10,103.0426
2013-07-17,101.9004
2013-07-24,101.5032
2013-07-31,101.4701
2013-08-07,101.6326
2013-08-14,101.2433
2013-08-21,101.8139
2013-08-28,102.4181
2013-09-04,102.9032
2013-09-11,102.3629
2013-09-18,101.6010
2013-09-25,100.8059
2013-10-02,101.1256
2013-10-09,100.9626
2013-10-16,100.9361
2013-10-23,100.1932
2013-10-30,100.3264
2013-11-06,101.1605
2013-11-13,101.7269
2013-11-20,101.3642
2013-11-27,101.7284
2013-12-04,102.0068
2013-12-11,101.4496
2013-12-18,101.5149
2013-12-25,101.8757
2014-01-01,101.8293
2014-01-08,102.1597
2014-01-15,102.2810
2014-01-22,102.8519
2014-01-29,103.0992
2014-02-05,103.3665
2014-02-12,102.9254
2014-02-19,102.6053
2014-02-26,102.8964
2014-03-05,102.9128
2014-03-12,102.6444
2014-03-19,102.6392
2014-03-26,103.1845
2014-04-02,102.7029
2014-04-09,102.4501
2014-04-16,102.2046
2014-04-23,102.4728
2014-04-30,102.5601
2014-05-07,102.1365
2014-05-14,102.0323
2014-05-21,102.0795
2014-05-28,102.2168
2014-06-04,102.3783
2014-06-11,102.4054
2014-06-18,102.3810
2014-06-25,102.1354
2014-07-02,101.7401
2014-07-09,101.7368
2014-07-16,101.8888
2014-07-23,102.0647
2014-07-30,102.3456
2014-08-06,102.9299
2014-08-13,102.9129
2014-08-20,102.7218
2014-08-27,103.1245
2014-09-03,103.1940
2014-09-10,103.8591
2014-09-17,104.3370
2014-09-24,104.8124
2014-10-01,105.7032
2014-10-08,105.9570
2014-10-15,105.7216
2014-10-22,105.6978
2014-10-29,105.7708
2014-11-05,106.7296
2014-11-12,107.4862
2014-11-19,107.6500
2014-11-26,107.8252
2014-12-03,108.9098
2014-12-10,109.6540
2014-12-17,110.3507
2014-12-24,110.8944
2014-12-31,111.0741
2015-01-07,112.1606
2015-01-14,112.0086
2015-01-21,112.2602
2015-01-28,113.1456
2015-02-04,113.9862
2015-02-11,114.0215
2015-02-18,113.8984
2015-02-25,114.2170
2015-03-04,114.6055
2015-03-11,116.7479
2015-03-18,117.3439
2015-03-25,115.6119
2015-04-01,115.7402
2015-04-08,114.8604
2015-04-15,115.8765
2015-04-22,115.0569
2015-04-29,114.1232
2015-05-06,113.9642
2015-05-13,113.6260
2015-05-20,113.4328
2015-05-27,114.8764
2015-06-03,115.3900
2015-06-10,115.2582
2015-06-17,114.8156
2015-06-24,114.4289
2015-07-01,115.3066
2015-07-08,116.1231
2015-07-15,116.3714
2015-07-22,117.3351
2015-07-29,117.6126
2015-08-05,118.2086
2015-08-12,118.5763
2015-08-19,119.3859
2015-08-26,119.5309
2015-09-02,119.7709
2015-09-09,120.1076
2015-09-16,119.6975
2015-09-23,119.8692
2015-09-30,120.6027
2015-10-07,119.5745
2015-10-14,118.3885
2015-10-21,118.3021
2015-10-28,119.3500
2015-11-04,119.4968
2015-11-11,120.6866
2015-11-18,121.3034
2015-11-25,120.9503
2015-12-02,121.3942
2015-12-09,121.2375
2015-12-16,121.9997
2015-12-23,122.6409
2015-12-30,122.4645
2016-01-06,123.4400
2016-01-13,124.4667
2016-01-20,125.2468
2016-01-27,125.1933
2016-02-03,124.6956
2016-02-10,123.5716
2016-02-17,123.5886
2016-02-24,123.3104
