DATE,cpi
2012-09-01,132.99
2012-10-01,132.89
2012-11-01,132.21
2012-12-01,131.77
2013-01-01,132.14
2013-02-01,133.2
2013-03-01,133.56
2013-04-01,133.42
2013-05-01,133.63
2013-06-01,133.9
2013-07-01,133.92
2013-08-01,134.1
2013-09-01,134.26
2013-10-01,133.88
2013-11-01,133.6
2013-12-01,133.51
2014-01-01,134.02
2014-02-01,134.54
2014-03-01,135.38
2014-04-01,135.77
2014-05-01,136.22
2014-06-01,136.43
2014-07-01,136.39
2014-08-01,136.13
2014-09-01,136.21
2014-10-01,135.89
2014-11-01,135.11
2014-12-01,134.21
2015-01-01,133.49
2015-02-01,134.05
2015-03-01,134.97
2015-04-01,135.22
2015-05-01,135.98
2015-06-01,136.39
2015-07-01,136.37
2015-08-01,136.13
2015-09-01,135.84
2015-10-01,135.74
2015-11-01,135.39
2015-12-01,134.79
2016-01-01,134.97
2016-02-01,134.95
2016-03-01,135.66
2016-04-01,136.33
2016-05-01,136.9
2016-06-01,137.33
2016-07-01,137.01
2016-08-01,137.07
2016-09-01,137.42
2016-10-01,137.61
2016-11-01,137.33
2016-12-01,137.38
2017-01-01,138.25
2017-02-01,138.65
2017-03-01,138.74
2017-04-01,139.19
